Article_ID,Total_Negative_Words,Unique_Negative_Words,Most_Common_Negative_Words
29,7,5,"inefficient(2), problem(2), inadequate(1), excessively(1), complex(1)"
15,21,13,"errors(4), gross(3), manipulation(2), cloud(2), inconsistency(2)"
114,6,6,"difficult(1), wrong(1), issue(1), unexpected(1), fear(1)"
100,2,2,"hype(1), risk(1)"
128,4,4,"splitting(1), split(1), isolated(1), hype(1)"
129,4,4,"difficulty(1), impossible(1), dislike(1), anomaly(1)"
101,3,3,"complex(1), lies(1), failure(1)"
115,2,2,"distrust(1), cloud(1)"
14,6,2,"severity(4), regression(2)"
28,11,3,"cloud(9), complex(1), severity(1)"
16,16,9,"cloud(4), regression(4), complex(2), problem(1), unknown(1)"
103,6,2,"regression(5), imaginary(1)"
117,16,9,"issue(5), expired(2), error(2), static(2), irrelevant(1)"
116,14,8,"cloud(5), error(2), issue(2), unexpected(1), setup(1)"
102,2,2,"problem(1), cloud(1)"
17,15,13,"issues(2), setup(2), critical(1), lies(1), restrict(1)"
13,6,6,"fatigue(1), tedious(1), limited(1), challenging(1), noisy(1)"
106,3,3,"cloud(1), missed(1), disadvantages(1)"
112,3,2,"cloud(2), unwanted(1)"
113,4,4,"cloud(1), problem(1), difficult(1), disturb(1)"
107,6,3,"setup(3), cloud(2), bash(1)"
12,3,3,"limitations(1), cloud(1), risk(1)"
10,20,13,"issues(3), challenging(3), risk(3), setup(2), disaster(1)"
38,9,8,"cloud(2), degradation(1), subjected(1), limited(1), latency(1)"
139,4,4,"cloud(1), problems(1), fatigue(1), crisis(1)"
111,7,3,"cloud(4), setup(2), threat(1)"
105,6,4,"disputed(2), cloud(2), difficult(1), dispute(1)"
104,2,2,"setup(1), risk(1)"
110,7,7,"worry(1), expensive(1), unable(1), limitation(1), anomaly(1)"
138,3,3,"cloud(1), smoke(1), problems(1)"
39,12,9,"difficulty(3), blurred(2), static(1), critical(1), issues(1)"
11,6,5,"irrelevant(2), insufficient(1), lies(1), dropout(1), dense(1)"
76,5,4,"regression(2), errors(1), error(1), setup(1)"
62,4,4,"inefficient(1), manipulate(1), slack(1), smoke(1)"
89,3,2,"setup(2), cloud(1)"
88,2,2,"cloud(1), problem(1)"
63,3,3,"slack(1), cloud(1), depression(1)"
77,3,3,"issues(1), dark(1), anomaly(1)"
49,11,8,"bugs(3), errors(2), fuzzy(1), flair(1), bug(1)"
61,9,4,"threat(5), object(2), slack(1), complex(1)"
75,3,3,"problems(1), poor(1), cons(1)"
74,2,2,"break(1), bother(1)"
60,2,2,"slack(1), problems(1)"
48,9,7,"cloud(3), errors(1), lag(1), issues(1), inaccuracy(1)"
64,11,8,"inaccurate(2), cloud(2), problems(2), issue(1), unwanted(1)"
70,2,2,"dislike(1), cloud(1)"
58,3,3,"cloud(1), issue(1), slack(1)"
59,6,5,"cloud(2), slow(1), complex(1), difficult(1), slack(1)"
71,6,6,"problem(1), lack(1), lacked(1), challenging(1), cloud(1)"
65,2,2,"slack(1), depression(1)"
73,0,0,
67,7,5,"cloud(3), issues(1), issue(1), expensive(1), setup(1)"
9,10,10,"daunting(1), issues(1), inconsistency(1), difficulty(1), cloud(1)"
98,1,1,error(1)
99,6,5,"cloud(2), limited(1), crime(1), setup(1), risk(1)"
8,10,8,"cloud(3), lacks(1), difficulties(1), setup(1), slack(1)"
66,5,5,"cloud(1), challenging(1), difficult(1), issues(1), slack(1)"
72,6,3,"flair(3), errors(2), mistakes(1)"
57,6,5,"issues(2), fails(1), object(1), slack(1), setup(1)"
5,4,3,"setup(2), limited(1), risk(1)"
43,1,1,slack(1)
142,9,4,"negative(3), cloud(3), plot(2), issue(1)"
94,4,4,"cloud(1), glitches(1), complex(1), unwanted(1)"
80,5,3,"cloud(3), limitation(1), risk(1)"
81,5,5,"lack(1), challenging(1), difficult(1), risk(1), enemy(1)"
95,5,4,"cloud(2), error(1), issue(1), regression(1)"
143,10,5,"plot(6), unable(1), cloud(1), fear(1), mistakes(1)"
42,2,2,"unclean(1), slack(1)"
56,8,6,"issues(3), object(1), errors(1), slack(1), problem(1)"
4,10,10,"daunting(1), issues(1), inconsistency(1), difficulty(1), cloud(1)"
68,12,6,"hard(4), split(3), dirty(2), difficult(1), manipulate(1)"
40,0,0,
6,2,1,cloud(2)
54,6,4,"cloud(3), issues(1), slack(1), regression(1)"
141,10,6,"complex(4), cloud(2), issue(1), unwanted(1), breaking(1)"
83,8,7,"cloud(2), mundane(1), waste(1), errors(1), dull(1)"
97,5,5,"slack(1), cloud(1), complex(1), insufficient(1), issues(1)"
96,1,1,issue(1)
82,1,1,problems(1)
140,3,2,"cloud(2), randomly(1)"
7,8,4,"issues(4), strictly(2), static(1), cloud(1)"
55,2,2,"loss(1), slack(1)"
41,12,9,"cloud(3), risk(2), static(1), issue(1), difficult(1)"
69,4,3,"cloud(2), issue(1), enemy(1)"
45,10,9,"challenging(2), limitation(1), limited(1), issue(1), hard(1)"
51,5,5,"limited(1), cloud(1), difficult(1), issues(1), slack(1)"
3,10,8,"cloud(3), lacks(1), difficulties(1), setup(1), slack(1)"
79,14,2,"cloud(13), challenging(1)"
86,2,2,"negative(1), problems(1)"
92,11,5,"setup(7), problem(1), lapse(1), loneliness(1), scams(1)"
144,20,10,"cloud(4), issue(3), regression(2), missed(2), inactive(2)"
145,13,7,"died(3), death(3), manipulation(2), cloud(2), impossible(1)"
93,3,2,"setup(2), difficult(1)"
87,8,3,"setup(4), plot(3), cloud(1)"
78,15,6,"anomaly(6), problems(3), problem(3), regression(1), limited(1)"
50,4,4,"cloud(1), regressive(1), slack(1), setup(1)"
2,9,5,"issues(4), strictly(2), static(1), cloud(1), problems(1)"
44,5,4,"limitation(2), setup(1), zaps(1), slack(1)"
52,6,4,"difficult(3), unwanted(1), slack(1), setup(1)"
46,9,8,"scrap(2), problems(1), manipulation(1), sued(1), bs(1)"
91,8,3,"wrong(5), cloud(2), setup(1)"
85,2,2,"cloud(1), problems(1)"
147,1,1,unexpected(1)
146,0,0,
84,8,6,"cloud(2), setup(2), unwanted(1), problems(1), fear(1)"
90,2,2,"issue(1), crime(1)"
47,9,8,"cloud(2), manipulation(1), slow(1), fail(1), inconsistent(1)"
1,3,2,"cloud(2), stalls(1)"
53,11,5,"regression(7), cloud(1), failed(1), poor(1), slack(1)"
34,9,4,"cloud(3), issues(3), error(2), setup(1)"
20,9,7,"limits(3), lacked(1), manipulation(1), cloud(1), issues(1)"
135,1,1,cloud(1)
121,1,1,fatigue(1)
109,5,4,"difficult(2), noisy(1), noise(1), splitting(1)"
108,1,1,cloud(1)
120,1,1,error(1)
134,4,2,"missed(2), cloud(2)"
21,2,2,"cloud(1), regression(1)"
35,31,17,"errors(4), inconsistencies(3), noise(3), error(3), issues(3)"
23,3,3,"cloud(1), complex(1), problems(1)"
37,7,4,"manipulation(3), reject(2), fail(1), complex(1)"
122,6,3,"error(3), broken(2), depression(1)"
136,2,2,"cloud(1), cons(1)"
137,4,4,"cloud(1), anomaly(1), problems(1), scams(1)"
123,1,1,error(1)
36,27,9,"error(16), issues(2), manipulation(2), inconsistencies(2), errors(1)"
22,2,2,"cloud(1), complex(1)"
26,9,3,"anomaly(6), unusual(2), cloud(1)"
32,19,13,"cloud(2), cons(2), inconsistencies(2), error(2), complex(2)"
127,8,8,"regression(1), debt(1), repetitive(1), incomplete(1), manipulation(1)"
133,2,2,"cloud(1), threat(1)"
132,3,3,"cloud(1), problem(1), risk(1)"
126,2,2,"disadvantages(1), controversy(1)"
33,8,6,"drain(2), limited(2), cloud(1), oversight(1), burden(1)"
27,4,3,"issues(2), errors(1), loneliness(1)"
31,7,5,"cloud(3), critical(1), problem(1), poor(1), struggle(1)"
25,3,3,"cloud(1), complex(1), problems(1)"
19,10,8,"issue(3), issues(1), excessive(1), cloud(1), problem(1)"
118,5,3,"issue(3), setup(1), complex(1)"
130,5,3,"manipulation(2), cloud(2), issues(1)"
124,2,2,"rail(1), anomaly(1)"
125,7,5,"tanks(2), challenging(2), limited(1), problems(1), difficult(1)"
131,3,3,"loneliness(1), crisis(1), cloud(1)"
119,2,2,"fear(1), mistakes(1)"
18,4,4,"problem(1), limit(1), limits(1), regression(1)"
24,1,1,cloud(1)
30,13,6,"cloud(7), difficult(2), accidental(1), struggling(1), fear(1)"
